application;category 
Прошу заверить мой больничный, чтобы не возникло проблем с отпуском.;Больничные/Медицинские справки
Можно ли получить дубликат больничного листа?;Больничные/Медицинские справки
Как оформить справку о перенесенном заболевании?;Больничные/Медицинские справки
Нужна медицинская справка для поездки в командировку.;Больничные/Медицинские справки
Могу ли я предоставить больничный в электронном виде?;Больничные/Медицинские справки
Как долго действуют медицинские справки?;Больничные/Медицинские справки
Нужно оформить больничный лист для посещения врача.;Больничные/Медицинские справки
Как получить справку о состоянии здоровья для страховой компании? ;Больничные/Медицинские справки
Прошу продлить мой больничный до конца месяца. ;Больничные/Медицинские справки
Где получить справку для учебного заведения? ;Больничные/Медицинские справки
Каков срок действия больничного листа? ;Больничные/Медицинские справки
У меня возникли проблемы с получением дубликата больничного, помогите! ;Больничные/Медицинские справки
Как отправить больничный лист работодателю?;Больничные/Медицинские справки
Могу ли я получить медицинскую справку через интернет? ;Больничные/Медицинские справки
Нужна справка для Компенсации по временной нетрудоспособности. ;Больничные/Медицинские справки
Какова процедура получения медицинского освидетельствования?;Больничные/Медицинские справки
Компьютер зависает, не могу работать.;Технические проблемы / IT-поддержка
Пожалуйста, перезагрузите мой аккаунт в системе.;Технические проблемы / IT-поддержка
У меня проблемы с доступом к корпоративной электронной почте.;Технические проблемы / IT-поддержка
Не удается подключиться к домашнему Wi-Fi.;Технические проблемы / IT-поддержка
Прошу установить обновление программного обеспечения.;Технические проблемы / IT-поддержка
Нужна помощь с настройкой принтера.;Технические проблемы / IT-поддержка
Как изменить пароль от учетной записи?;Технические проблемы / IT-поддержка
Программа не открывается, нужна помощь.;Технические проблемы / IT-поддержка
Как подключить свой ноутбук к проектору?;Технические проблемы / IT-поддержка
Произошла ошибка в CRM, не могу выполнить задание.;Технические проблемы / IT-поддержка
Не могу установить новое программное обеспечение, нужна помощь.;Технические проблемы / IT-поддержка
Запрашиваю восстановление доступа к удаленной системе. ;Технические проблемы / IT-поддержка
Как мне настроить двуфакторную аутентификацию? ;Технические проблемы / IT-поддержка
Компьютер не распознает внешний жесткий диск. ;Технические проблемы / IT-поддержка
У меня пропал звук на компьютере, как это исправить? ;Технические проблемы / IT-поддержка
Нужна помощь с настройкой виртуальной машины. ;Технические проблемы / IT-поддержка
Как удалить вирус с моего устройства? ;Технические проблемы / IT-поддержка
Не удается подключиться к корпоративной VPN. ;Технические проблемы / IT-поддержка
Как часто обновляется антивирусное программное обеспечение? ;Технические проблемы / IT-поддержка
Прошу устранить проблему с медленным интернет-соединением.;Технические проблемы / IT-поддержка
Почему не начислены премии за последний месяц?;Финансовые вопросы
Прошу предоставить расчетный лист за март.;Финансовые вопросы
Когда будет выплачена заработная плата за апрель?;Финансовые вопросы
Как узнать, как рассчитываются бонусы?;Финансовые вопросы
Нужен отчет о налогах за предыдущий год.;Финансовые вопросы
Как оформить возврат излишне уплаченных налогов?;Финансовые вопросы
Почему была задержка в начислении зарплаты?;Финансовые вопросы
Как подать заявку на улучшение условий зарплаты?;Финансовые вопросы
Когда будет следующая выплата по программе лояльности?;Финансовые вопросы
Как проверить статус моего счета по премиям?;Финансовые вопросы
Как узнать, какие налоги были удержаны из моей зарплаты?;Финансовые вопросы
Почему нет информации о премиях в моем личном кабинете?;Финансовые вопросы
Необходимо объяснить порядок расчета компенсации при увольнении.;Финансовые вопросы
Как оформляется выплата по итогам работы за квартал?;Финансовые вопросы
Когда будет проведен перерасчет зарплаты?;Финансовые вопросы
Как узнать, есть ли у меня право на дополнительные бонусы? ;Финансовые вопросы
Хочу узнать, когда будут выплачены отпускные.;Финансовые вопросы
Как подать заявку на получение материалов для обучения за счет компании?;Финансовые вопросы
Могу ли я запросить отчет о своих налоговых платежах?;Финансовые вопросы
Каковы условия для получения финансовой помощи от компании?;Финансовые вопросы
Нужно организовать корпоративное мероприятие в следующем месяце.;Прочее
Как мы можем улучшить условия работы в офисе?;Прочее
Прошу помощи в организации курсов повышения квалификации.;Прочее
Когда будет следующее собрание коллектива?;Прочее
Нужно обновить контактные данные в системе.;Прочее
Как обратиться в компанию по поводу улучшения условий труда?;Прочее
Запрашиваю информацию о доступных тренингах.;Прочее
Как подавать пожелания по улучшению работы отдела?;Прочее
Прошу организовать встречу с руководством.;Прочее
Как подать заявку на корпоративный обед в честь праздника?;Прочее
Как можно предложить свои идеи по улучшению рабочего процесса?;Прочее
Прошу помочь в организации внутрикорпоративного турнира по спорту.;Прочее
Как получить информацию о доступных вакансиях в других филиалах?;Прочее
Хочу инициировать обсуждение по поводу улучшения безопасности на работе.;Прочее
Как организовать экскурсию для новых сотрудников?;Прочее
Прошу рассмотреть возможность создания клуба по интересам в компании.;Прочее
Как подать заявку на участие в волонтерских проектах?;Прочее
Как часто проходят тренинги по личностному развитию?;Прочее
Где можно найти информацию о корпоративных акциях?;Прочее
Как организовать общий сбор для обсуждения новостей компании?;Прочее
